bench;vm;suite;extra_args;cores;input_sizes;variable_values;;;arithmetic mean;geometric mean;median;stdDev;#samples;min;max;Conf. Interval Low;Conf. Interval High;Conf. Interval Size Abs.;Conf.IntervalSize/Mean
benchmarks/binarytrees.lua-3.lua;lua-x86;tilera;10;1;1;None;pass2;total;113,333333;113,237135;110,000000;4,714045;3,000000;110,000000;120,000000;105,386139;121,280527;15,894388;0,140245
benchmarks/nbody.lua;lua;tilera;30000;1;1;None;;total;11326,666667;11326,618626;11320,000000;32,998316;3,000000;11290,000000;11370,000000;11271,036308;11382,297026;111,260718;0,009823
benchmarks/sieve.lua-2.lua;lua-x86;tilera;200;1;1;None;pass1;total;240,000000;240,000000;240,000000;0,000000;2,000000;240,000000;240,000000;240,000000;240,000000;0,000000;0,000000
benchmarks/partialsums.lua-3.lua;lua;tilera;500000;1;1;None;pass2;total;26933,333333;26933,308171;26930,000000;36,817870;3,000000;26890,000000;26980,000000;26871,263763;26995,402904;124,139141;0,004609
benchmarks/except.lua;luajit;tilera;250000;1;1;None;pass2;total;0,000000;0,000000;0,000000;0,000000;2,000000;0,000000;0,000000;0,000000;0,000000;0,000000;-nan
benchmarks/harmonic.lua;lua;tilera;20000000;1;1;None;pass2;total;41620,000000;41620,000000;41620,000000;0,000000;2,000000;41620,000000;41620,000000;41620,000000;41620,000000;0,000000;0,000000
benchmarks/lists.lua;lua-x86;tilera;25;1;1;None;;total;653,333333;653,214843;650,000000;12,472191;3,000000;640,000000;670,000000;632,307034;674,359633;42,052599;0,064366
benchmarks/nbody.lua-2.lua;lua-x86;tilera;30000;1;1;None;;total;406,666667;406,639193;410,000000;4,714045;3,000000;400,000000;410,000000;398,719473;414,613861;15,894388;0,039085
benchmarks/harmonic.lua;lua-x86;tilera;20000000;1;1;None;pass2;total;360,000000;360,000000;360,000000;0,000000;2,000000;360,000000;360,000000;360,000000;360,000000;0,000000;0,000000
benchmarks/hello.lua;luajit;tilera;0,000000;1;1;None;pass2;total;0,000000;0,000000;0,000000;0,000000;2,000000;0,000000;0,000000;0,000000;0,000000;0,000000;-nan
benchmarks/nbody.lua;luajit;tilera;30000;1;1;None;pass1;total;5100,000000;5100,000000;5100,000000;0,000000;2,000000;5100,000000;5100,000000;5100,000000;5100,000000;0,000000;0,000000
benchmarks/nsieve.lua-3.lua;luajit;tilera;6;1;1;None;pass2;total;3856,666667;3856,663784;3860,000000;4,714045;3,000000;3850,000000;3860,000000;3848,719473;3864,613861;15,894388;0,004121
benchmarks/nsievebits.lua;lua;tilera;5;1;1;None;pass1;total;8306,666667;8306,649290;8300,000000;16,996732;3,000000;8290,000000;8330,000000;8278,012651;8335,320683;57,308032;0,006899
benchmarks/strcat.lua-2.lua;lua;tilera;15000;1;1;None;pass1;total;3640,000000;3640,000000;3640,000000;0,000000;3,000000;3640,000000;3640,000000;3640,000000;3640,000000;0,000000;0,000000
benchmarks/partialsums.lua-3.lua;lua-x86;tilera;500000;1;1;None;pass1;total;320,000000;320,000000;320,000000;0,000000;2,000000;320,000000;320,000000;320,000000;320,000000;0,000000;0,000000
benchmarks/hash.lua;luajit;tilera;150000;1;1;None;;total;10516,666667;10516,627563;10520,000000;28,674418;3,000000;10480,000000;10550,000000;10468,325772;10565,007561;96,681790;0,009193
benchmarks/strcat.lua-2.lua;lua;tilera;15000;1;1;None;pass2;total;3546,666667;3546,663532;3550,000000;4,714045;3,000000;3540,000000;3550,000000;3538,719473;3554,613861;15,894388;0,004482
benchmarks/matrix.lua;lua;tilera;100;1;1;None;pass2;total;4730,000000;4730,000000;4730,000000;0,000000;2,000000;4730,000000;4730,000000;4730,000000;4730,000000;0,000000;0,000000
benchmarks/nbody.lua-2.lua;lua-x86;tilera;30000;1;1;None;pass1;total;200,000000;200,000000;200,000000;0,000000;3,000000;200,000000;200,000000;200,000000;200,000000;0,000000;0,000000
benchmarks/recursive.lua;lua-x86;tilera;4;1;1;None;pass2;total;290,000000;290,000000;290,000000;0,000000;2,000000;290,000000;290,000000;290,000000;290,000000;0,000000;0,000000
benchmarks/hash2.lua;luajit;tilera;200;1;1;None;pass1;total;4103,333333;4103,322490;4110,000000;9,428090;3,000000;4090,000000;4110,000000;4087,438945;4119,227722;31,788777;0,007747
benchmarks/harmonic.lua;lua;tilera;20000000;1;1;None;;total;83250,000000;83250,000000;83250,000000;0,000000;2,000000;83250,000000;83250,000000;83250,000000;83250,000000;0,000000;0,000000
benchmarks/prodcons.lua;lua;tilera;500000;1;1;None;;total;6620,000000;6620,000000;6620,000000;0,000000;2,000000;6620,000000;6620,000000;6620,000000;6620,000000;0,000000;0,000000
benchmarks/except.lua;lua;tilera;250000;1;1;None;;total;8250,000000;8250,000000;8250,000000;0,000000;2,000000;8250,000000;8250,000000;8250,000000;8250,000000;0,000000;0,000000
benchmarks/recursive.lua;luajit;tilera;4;1;1;None;;total;5260,000000;5260,000000;5260,000000;0,000000;2,000000;5260,000000;5260,000000;5260,000000;5260,000000;0,000000;0,000000
benchmarks/hello.lua;lua;tilera;0,000000;1;1;None;;total;10,000000;10,000000;10,000000;0,000000;2,000000;10,000000;10,000000;10,000000;10,000000;0,000000;0,000000
benchmarks/binarytrees.lua-2.lua;lua-x86;tilera;10;1;1;None;pass2;total;113,333333;113,237135;110,000000;4,714045;3,000000;110,000000;120,000000;105,386139;121,280527;15,894388;0,140245
benchmarks/prodcons.lua;lua-x86;tilera;500000;1;1;None;;total;526,666667;526,645480;530,000000;4,714045;3,000000;520,000000;530,000000;518,719473;534,613861;15,894388;0,030179
benchmarks/nsieve.lua-3.lua;lua-x86;tilera;6;1;1;None;pass2;total;193,333333;193,276506;190,000000;4,714045;3,000000;190,000000;200,000000;185,386139;201,280527;15,894388;0,082212
benchmarks/sieve.lua;lua-x86;tilera;200;1;1;None;pass1;total;200,000000;200,000000;200,000000;0,000000;2,000000;200,000000;200,000000;200,000000;200,000000;0,000000;0,000000
benchmarks/fasta.lua;lua;tilera;200000;1;1;None;pass2;total;11953,333333;11953,332404;11950,000000;4,714045;3,000000;11950,000000;11960,000000;11945,386139;11961,280527;15,894388;0,001330
benchmarks/random.lua;lua;tilera;2000000;1;1;None;pass2;total;12215,000000;12214,998977;12215,000000;5,000000;2,000000;12210,000000;12220,000000;12192,677517;12237,322483;44,644965;0,003655
benchmarks/fibo.lua;luajit;tilera;30;1;1;None;;total;6873,333333;6873,331717;6870,000000;4,714045;3,000000;6870,000000;6880,000000;6865,386139;6881,280527;15,894388;0,002312
benchmarks/nsieve.lua-3.lua;lua;tilera;6;1;1;None;pass1;total;5085,000000;5084,997542;5085,000000;5,000000;2,000000;5080,000000;5090,000000;5062,677517;5107,322483;44,644965;0,008780
benchmarks/spectralnorm.lua;lua-x86;tilera;220;1;1;None;pass2;total;230,000000;230,000000;230,000000;0,000000;2,000000;230,000000;230,000000;230,000000;230,000000;0,000000;0,000000
benchmarks/takfp.lua;lua-x86;tilera;8;1;1;None;;total;290,000000;290,000000;290,000000;0,000000;2,000000;290,000000;290,000000;290,000000;290,000000;0,000000;0,000000
benchmarks/ary.lua;lua;tilera;10000;1;1;None;;total;33685,000000;33684,999629;33685,000000;5,000000;2,000000;33680,000000;33690,000000;33662,677517;33707,322483;44,644965;0,001325
benchmarks/lists.lua;lua-x86;tilera;25;1;1;None;pass2;total;320,000000;320,000000;320,000000;0,000000;3,000000;320,000000;320,000000;320,000000;320,000000;0,000000;0,000000
benchmarks/takfp.lua;lua-x86;tilera;8;1;1;None;pass2;total;150,000000;150,000000;150,000000;0,000000;2,000000;150,000000;150,000000;150,000000;150,000000;0,000000;0,000000
benchmarks/recursive.lua;lua;tilera;4;1;1;None;;total;10190,000000;10190,000000;10190,000000;0,000000;2,000000;10190,000000;10190,000000;10190,000000;10190,000000;0,000000;0,000000
benchmarks/strcat.lua;lua-x86;tilera;800000;1;1;None;pass1;total;270,000000;270,000000;270,000000;0,000000;3,000000;270,000000;270,000000;270,000000;270,000000;0,000000;0,000000
benchmarks/nbody.lua-2.lua;luajit;tilera;30000;1;1;None;;total;9730,000000;9730,000000;9730,000000;0,000000;2,000000;9730,000000;9730,000000;9730,000000;9730,000000;0,000000;0,000000
benchmarks/hash2.lua;lua-x86;tilera;200;1;1;None;pass2;total;266,666667;266,624646;270,000000;4,714045;3,000000;260,000000;270,000000;258,719473;274,613861;15,894388;0,059604
benchmarks/fasta.lua;luajit;tilera;200000;1;1;None;pass2;total;10525,000000;10524,998812;10525,000000;5,000000;2,000000;10520,000000;10530,000000;10502,677517;10547,322483;44,644965;0,004242
benchmarks/lists.lua;luajit;tilera;25;1;1;None;pass2;total;4290,000000;4290,000000;4290,000000;0,000000;2,000000;4290,000000;4290,000000;4290,000000;4290,000000;0,000000;0,000000
benchmarks/strcat.lua;lua;tilera;800000;1;1;None;;total;7040,000000;7039,187772;7020,000000;107,082523;3,000000;6920,000000;7180,000000;6859,474451;7220,525549;361,051097;0,051286
benchmarks/nbody.lua-4.lua;luajit;tilera;30000;1;1;None;pass1;total;4970,000000;4970,000000;4970,000000;0,000000;2,000000;4970,000000;4970,000000;4970,000000;4970,000000;0,000000;0,000000
benchmarks/process.lua;lua;tilera;100;1;1;None;pass1;total;10,000000;10,000000;10,000000;0,000000;3,000000;10,000000;10,000000;10,000000;10,000000;0,000000;0,000000
benchmarks/process.lua;lua-x86;tilera;100;1;1;None;pass1;total;0,000000;0,000000;0,000000;0,000000;3,000000;0,000000;0,000000;0,000000;0,000000;0,000000;-nan
benchmarks/fibo.lua;lua;tilera;30;1;1;None;pass2;total;3340,000000;3340,000000;3340,000000;0,000000;2,000000;3340,000000;3340,000000;3340,000000;3340,000000;0,000000;0,000000
benchmarks/hash2.lua;lua-x86;tilera;200;1;1;None;;total;543,333333;543,190983;540,000000;12,472191;3,000000;530,000000;560,000000;522,307034;564,359633;42,052599;0,077397
benchmarks/sieve.lua-2.lua;lua-x86;tilera;200;1;1;None;pass2;total;250,000000;250,000000;250,000000;0,000000;2,000000;250,000000;250,000000;250,000000;250,000000;0,000000;0,000000
benchmarks/nbody.lua-4.lua;luajit;tilera;30000;1;1;None;;total;9910,000000;9910,000000;9910,000000;0,000000;2,000000;9910,000000;9910,000000;9910,000000;9910,000000;0,000000;0,000000
benchmarks/strcat.lua-2.lua;lua;tilera;15000;1;1;None;;total;7186,666667;7186,665120;7190,000000;4,714045;3,000000;7180,000000;7190,000000;7178,719473;7194,613861;15,894388;0,002212
benchmarks/nbody.lua;lua-x86;tilera;30000;1;1;None;pass2;total;233,333333;233,286158;230,000000;4,714045;3,000000;230,000000;240,000000;225,386139;241,280527;15,894388;0,068119
benchmarks/nbody.lua-2.lua;luajit;tilera;30000;1;1;None;pass1;total;4880,000000;4880,000000;4880,000000;0,000000;2,000000;4880,000000;4880,000000;4880,000000;4880,000000;0,000000;0,000000
benchmarks/fannkuch.lua-2.lua;luajit;tilera;9;1;1;None;pass1;total;8220,000000;8220,000000;8220,000000;0,000000;2,000000;8220,000000;8220,000000;8220,000000;8220,000000;0,000000;0,000000
benchmarks/strcat.lua-2.lua;lua-x86;tilera;15000;1;1;None;;total;320,000000;320,000000;320,000000;0,000000;2,000000;320,000000;320,000000;320,000000;320,000000;0,000000;0,000000
benchmarks/sieve.lua-2.lua;luajit;tilera;200;1;1;None;pass2;total;6060,000000;6060,000000;6060,000000;0,000000;2,000000;6060,000000;6060,000000;6060,000000;6060,000000;0,000000;0,000000
benchmarks/nsievebits.lua;lua;tilera;5;1;1;None;pass2;total;8313,333333;8313,323981;8310,000000;12,472191;3,000000;8300,000000;8330,000000;8292,307034;8334,359633;42,052599;0,005058
benchmarks/hash.lua;lua;tilera;150000;1;1;None;pass2;total;3890,000000;3889,991431;3890,000000;8,164966;3,000000;3880,000000;3900,000000;3876,235056;3903,764944;27,529888;0,007077
benchmarks/partialsums.lua-2.lua;lua-x86;tilera;500000;1;1;None;pass1;total;306,666667;306,523773;300,000000;9,428090;3,000000;300,000000;320,000000;290,772278;322,561055;31,788777;0,103659
benchmarks/takfp.lua;luajit;tilera;8;1;1;None;pass1;total;1570,000000;1570,000000;1570,000000;0,000000;2,000000;1570,000000;1570,000000;1570,000000;1570,000000;0,000000;0,000000
benchmarks/ary.lua;lua;tilera;10000;1;1;None;pass1;total;16845,000000;16844,999258;16845,000000;5,000000;2,000000;16840,000000;16850,000000;16822,677517;16867,322483;44,644965;0,002650
benchmarks/ary.lua;luajit;tilera;10000;1;1;None;;total;27800,000000;27800,000000;27800,000000;0,000000;2,000000;27800,000000;27800,000000;27800,000000;27800,000000;0,000000;0,000000
benchmarks/partialsums.lua-3.lua;lua;tilera;500000;1;1;None;pass1;total;26963,333333;26963,305709;26980,000000;38,586123;3,000000;26910,000000;27000,000000;26898,282746;27028,383921;130,101175;0,004825
benchmarks/fibo.lua;luajit;tilera;30;1;1;None;pass2;total;3423,333333;3423,330090;3420,000000;4,714045;3,000000;3420,000000;3430,000000;3415,386139;3431,280527;15,894388;0,004643
benchmarks/nestedloop.lua;lua-x86;tilera;14;1;1;None;pass2;total;210,000000;210,000000;210,000000;0,000000;2,000000;210,000000;210,000000;210,000000;210,000000;0,000000;0,000000
benchmarks/partialsums.lua-2.lua;lua;tilera;500000;1;1;None;;total;53756,666667;53756,429662;53740,000000;159,652400;3,000000;53570,000000;53960,000000;53487,515956;54025,817378;538,301422;0,010014
benchmarks/ary.lua;lua-x86;tilera;10000;1;1;None;;total;1196,666667;1196,489742;1200,000000;20,548047;3,000000;1170,000000;1220,000000;1162,025651;1231,307683;69,282032;0,057896
benchmarks/sieve.lua;luajit;tilera;200;1;1;None;pass2;total;5300,000000;5299,993711;5300,000000;8,164966;3,000000;5290,000000;5310,000000;5286,235056;5313,764944;27,529888;0,005194
benchmarks/nsieve.lua-3.lua;luajit;tilera;6;1;1;None;pass1;total;3863,333333;3863,330459;3860,000000;4,714045;3,000000;3860,000000;3870,000000;3855,386139;3871,280527;15,894388;0,004114
benchmarks/hash.lua;lua-x86;tilera;150000;1;1;None;;total;720,000000;720,000000;720,000000;0,000000;2,000000;720,000000;720,000000;720,000000;720,000000;0,000000;0,000000
benchmarks/partialsums.lua-3.lua;lua-x86;tilera;500000;1;1;None;pass2;total;320,000000;320,000000;320,000000;0,000000;2,000000;320,000000;320,000000;320,000000;320,000000;0,000000;0,000000
benchmarks/ary.lua;lua-x86;tilera;10000;1;1;None;pass2;total;593,333333;593,202920;590,000000;12,472191;3,000000;580,000000;610,000000;572,307034;614,359633;42,052599;0,070875
benchmarks/hello.lua;lua-x86;tilera;0,000000;1;1;None;pass1;total;0,000000;0,000000;0,000000;0,000000;3,000000;0,000000;0,000000;0,000000;0,000000;0,000000;-nan
benchmarks/fannkuch.lua-2.lua;luajit;tilera;9;1;1;None;;total;16405,000000;16404,999238;16405,000000;5,000000;2,000000;16400,000000;16410,000000;16382,677517;16427,322483;44,644965;0,002721
benchmarks/nbody.lua;luajit;tilera;30000;1;1;None;pass2;total;5080,000000;5080,000000;5080,000000;0,000000;2,000000;5080,000000;5080,000000;5080,000000;5080,000000;0,000000;0,000000
benchmarks/binarytrees.lua-2.lua;lua-x86;tilera;10;1;1;None;pass1;total;106,666667;106,265857;100,000000;9,428090;3,000000;100,000000;120,000000;90,772278;122,561055;31,788777;0,298020
benchmarks/recursive.lua;lua-x86;tilera;4;1;1;None;pass1;total;290,000000;290,000000;290,000000;0,000000;2,000000;290,000000;290,000000;290,000000;290,000000;0,000000;0,000000
benchmarks/strcat.lua;luajit;tilera;800000;1;1;None;;total;6916,666667;6916,665060;6920,000000;4,714045;3,000000;6910,000000;6920,000000;6908,719473;6924,613861;15,894388;0,002298
