9910.000000	benchmarks/nbody.lua-4.lua	luajit	tilera	"30000"	1	1	None	total
4970.000000	benchmarks/nbody.lua-4.lua	luajit	tilera	"30000"	1	1	None	pass1	total
4940.000000	benchmarks/nbody.lua-4.lua	luajit	tilera	"30000"	1	1	None	pass2	total
7240.000000	benchmarks/nestedloop.lua	luajit	tilera	"14"	1	1	None	total
3630.000000	benchmarks/nestedloop.lua	luajit	tilera	"14"	1	1	None	pass1	total
3610.000000	benchmarks/nestedloop.lua	luajit	tilera	"14"	1	1	None	pass2	total
7240.000000	benchmarks/nestedloop.lua	luajit	tilera	"14"	1	1	None	total
3630.000000	benchmarks/nestedloop.lua	luajit	tilera	"14"	1	1	None	pass1	total
3610.000000	benchmarks/nestedloop.lua	luajit	tilera	"14"	1	1	None	pass2	total
7910.000000	benchmarks/nsieve.lua-3.lua	luajit	tilera	"6"	1	1	None	total
3860.000000	benchmarks/nsieve.lua-3.lua	luajit	tilera	"6"	1	1	None	pass1	total
3850.000000	benchmarks/nsieve.lua-3.lua	luajit	tilera	"6"	1	1	None	pass2	total
7920.000000	benchmarks/nsieve.lua-3.lua	luajit	tilera	"6"	1	1	None	total
3860.000000	benchmarks/nsieve.lua-3.lua	luajit	tilera	"6"	1	1	None	pass1	total
3860.000000	benchmarks/nsieve.lua-3.lua	luajit	tilera	"6"	1	1	None	pass2	total
7930.000000	benchmarks/nsieve.lua-3.lua	luajit	tilera	"6"	1	1	None	total
3870.000000	benchmarks/nsieve.lua-3.lua	luajit	tilera	"6"	1	1	None	pass1	total
3860.000000	benchmarks/nsieve.lua-3.lua	luajit	tilera	"6"	1	1	None	pass2	total
30.000000	benchmarks/process.lua	luajit	tilera	"100"	1	1	None	total
20.000000	benchmarks/process.lua	luajit	tilera	"100"	1	1	None	pass1	total
10.000000	benchmarks/process.lua	luajit	tilera	"100"	1	1	None	pass2	total
20.000000	benchmarks/process.lua	luajit	tilera	"100"	1	1	None	total
20.000000	benchmarks/process.lua	luajit	tilera	"100"	1	1	None	pass1	total
0.000000	benchmarks/process.lua	luajit	tilera	"100"	1	1	None	pass2	total
40.000000	benchmarks/process.lua	luajit	tilera	"100"	1	1	None	total
30.000000	benchmarks/process.lua	luajit	tilera	"100"	1	1	None	pass1	total
10.000000	benchmarks/process.lua	luajit	tilera	"100"	1	1	None	pass2	total
5260.000000	benchmarks/recursive.lua	luajit	tilera	"4"	1	1	None	total
2640.000000	benchmarks/recursive.lua	luajit	tilera	"4"	1	1	None	pass1	total
2620.000000	benchmarks/recursive.lua	luajit	tilera	"4"	1	1	None	pass2	total
5260.000000	benchmarks/recursive.lua	luajit	tilera	"4"	1	1	None	total
2640.000000	benchmarks/recursive.lua	luajit	tilera	"4"	1	1	None	pass1	total
2620.000000	benchmarks/recursive.lua	luajit	tilera	"4"	1	1	None	pass2	total
10640.000000	benchmarks/sieve.lua	luajit	tilera	"200"	1	1	None	total
5330.000000	benchmarks/sieve.lua	luajit	tilera	"200"	1	1	None	pass1	total
5310.000000	benchmarks/sieve.lua	luajit	tilera	"200"	1	1	None	pass2	total
10600.000000	benchmarks/sieve.lua	luajit	tilera	"200"	1	1	None	total
5310.000000	benchmarks/sieve.lua	luajit	tilera	"200"	1	1	None	pass1	total
5290.000000	benchmarks/sieve.lua	luajit	tilera	"200"	1	1	None	pass2	total
10630.000000	benchmarks/sieve.lua	luajit	tilera	"200"	1	1	None	total
5330.000000	benchmarks/sieve.lua	luajit	tilera	"200"	1	1	None	pass1	total
5300.000000	benchmarks/sieve.lua	luajit	tilera	"200"	1	1	None	pass2	total
12170.000000	benchmarks/sieve.lua-2.lua	luajit	tilera	"200"	1	1	None	total
6100.000000	benchmarks/sieve.lua-2.lua	luajit	tilera	"200"	1	1	None	pass1	total
6060.000000	benchmarks/sieve.lua-2.lua	luajit	tilera	"200"	1	1	None	pass2	total
12170.000000	benchmarks/sieve.lua-2.lua	luajit	tilera	"200"	1	1	None	total
6110.000000	benchmarks/sieve.lua-2.lua	luajit	tilera	"200"	1	1	None	pass1	total
6060.000000	benchmarks/sieve.lua-2.lua	luajit	tilera	"200"	1	1	None	pass2	total
6910.000000	benchmarks/strcat.lua	luajit	tilera	"800000"	1	1	None	total
3340.000000	benchmarks/strcat.lua	luajit	tilera	"800000"	1	1	None	pass1	total
3360.000000	benchmarks/strcat.lua	luajit	tilera	"800000"	1	1	None	pass2	total
6920.000000	benchmarks/strcat.lua	luajit	tilera	"800000"	1	1	None	total
3360.000000	benchmarks/strcat.lua	luajit	tilera	"800000"	1	1	None	pass1	total
3360.000000	benchmarks/strcat.lua	luajit	tilera	"800000"	1	1	None	pass2	total
6920.000000	benchmarks/strcat.lua	luajit	tilera	"800000"	1	1	None	total
3370.000000	benchmarks/strcat.lua	luajit	tilera	"800000"	1	1	None	pass1	total
3350.000000	benchmarks/strcat.lua	luajit	tilera	"800000"	1	1	None	pass2	total
7160.000000	benchmarks/strcat.lua-2.lua	luajit	tilera	"15000"	1	1	None	total
3610.000000	benchmarks/strcat.lua-2.lua	luajit	tilera	"15000"	1	1	None	pass1	total
3540.000000	benchmarks/strcat.lua-2.lua	luajit	tilera	"15000"	1	1	None	pass2	total
7160.000000	benchmarks/strcat.lua-2.lua	luajit	tilera	"15000"	1	1	None	total
3610.000000	benchmarks/strcat.lua-2.lua	luajit	tilera	"15000"	1	1	None	pass1	total
3550.000000	benchmarks/strcat.lua-2.lua	luajit	tilera	"15000"	1	1	None	pass2	total
3120.000000	benchmarks/takfp.lua	luajit	tilera	"8"	1	1	None	total
1570.000000	benchmarks/takfp.lua	luajit	tilera	"8"	1	1	None	pass1	total
1550.000000	benchmarks/takfp.lua	luajit	tilera	"8"	1	1	None	pass2	total
