#!/usr/local/bin/rebench -d -n rebench.conf
[2012-07-10 16:21:29.873585]	benchmarks/mandelbrot.lua, vm:luajit, suite:tilera, args:'400'	1	1	None	pass2	total = 7600.000000
[2012-07-10 16:21:45.553575]	benchmarks/mandelbrot.lua, vm:luajit, suite:tilera, args:'400'	1	1	None	total = 15230.000000
[2012-07-10 16:21:45.553769]	benchmarks/mandelbrot.lua, vm:luajit, suite:tilera, args:'400'	1	1	None	pass1	total = 7620.000000
[2012-07-10 16:21:45.553868]	benchmarks/mandelbrot.lua, vm:luajit, suite:tilera, args:'400'	1	1	None	pass2	total = 7600.000000
[2012-07-10 16:21:57.513519]	benchmarks/mandelbrot.lua-2.lua, vm:luajit, suite:tilera, args:'350'	1	1	None	total = 11500.000000
[2012-07-10 16:21:57.513694]	benchmarks/mandelbrot.lua-2.lua, vm:luajit, suite:tilera, args:'350'	1	1	None	pass1	total = 5750.000000
[2012-07-10 16:21:57.513788]	benchmarks/mandelbrot.lua-2.lua, vm:luajit, suite:tilera, args:'350'	1	1	None	pass2	total = 5740.000000
[2012-07-10 16:22:09.523585]	benchmarks/mandelbrot.lua-2.lua, vm:luajit, suite:tilera, args:'350'	1	1	None	total = 11510.000000
[2012-07-10 16:22:09.523755]	benchmarks/mandelbrot.lua-2.lua, vm:luajit, suite:tilera, args:'350'	1	1	None	pass1	total = 5760.000000
[2012-07-10 16:22:09.523852]	benchmarks/mandelbrot.lua-2.lua, vm:luajit, suite:tilera, args:'350'	1	1	None	pass2	total = 5740.000000
[2012-07-10 16:22:21.683718]	benchmarks/nbody.lua, vm:luajit, suite:tilera, args:'30000'	1	1	None	total = 10180.000000
[2012-07-10 16:22:21.683885]	benchmarks/nbody.lua, vm:luajit, suite:tilera, args:'30000'	1	1	None	pass1	total = 5100.000000
[2012-07-10 16:22:21.683978]	benchmarks/nbody.lua, vm:luajit, suite:tilera, args:'30000'	1	1	None	pass2	total = 5080.000000
[2012-07-10 16:22:32.304015]	benchmarks/nbody.lua, vm:luajit, suite:tilera, args:'30000'	1	1	None	total = 10180.000000
[2012-07-10 16:22:32.304190]	benchmarks/nbody.lua, vm:luajit, suite:tilera, args:'30000'	1	1	None	pass1	total = 5100.000000
[2012-07-10 16:22:32.304284]	benchmarks/nbody.lua, vm:luajit, suite:tilera, args:'30000'	1	1	None	pass2	total = 5080.000000
[2012-07-10 16:22:42.493807]	benchmarks/nbody.lua-2.lua, vm:luajit, suite:tilera, args:'30000'	1	1	None	total = 9730.000000
[2012-07-10 16:22:42.493979]	benchmarks/nbody.lua-2.lua, vm:luajit, suite:tilera, args:'30000'	1	1	None	pass1	total = 4880.000000
[2012-07-10 16:22:42.494074]	benchmarks/nbody.lua-2.lua, vm:luajit, suite:tilera, args:'30000'	1	1	None	pass2	total = 4850.000000
[2012-07-10 16:22:52.703950]	benchmarks/nbody.lua-2.lua, vm:luajit, suite:tilera, args:'30000'	1	1	None	total = 9730.000000
[2012-07-10 16:22:52.704120]	benchmarks/nbody.lua-2.lua, vm:luajit, suite:tilera, args:'30000'	1	1	None	pass1	total = 4880.000000
[2012-07-10 16:22:52.704215]	benchmarks/nbody.lua-2.lua, vm:luajit, suite:tilera, args:'30000'	1	1	None	pass2	total = 4850.000000
[2012-07-10 16:23:03.124274]	benchmarks/nbody.lua-4.lua, vm:luajit, suite:tilera, args:'30000'	1	1	None	total = 9910.000000
[2012-07-10 16:23:03.124442]	benchmarks/nbody.lua-4.lua, vm:luajit, suite:tilera, args:'30000'	1	1	None	pass1	total = 4970.000000
[2012-07-10 16:23:03.124536]	benchmarks/nbody.lua-4.lua, vm:luajit, suite:tilera, args:'30000'	1	1	None	pass2	total = 4940.000000
[2012-07-10 16:23:13.494325]	benchmarks/nbody.lua-4.lua, vm:luajit, suite:tilera, args:'30000'	1	1	None	total = 9910.000000
[2012-07-10 16:23:13.494493]	benchmarks/nbody.lua-4.lua, vm:luajit, suite:tilera, args:'30000'	1	1	None	pass1	total = 4970.000000
[2012-07-10 16:23:13.494590]	benchmarks/nbody.lua-4.lua, vm:luajit, suite:tilera, args:'30000'	1	1	None	pass2	total = 4940.000000
[2012-07-10 16:23:21.184182]	benchmarks/nestedloop.lua, vm:luajit, suite:tilera, args:'14'	1	1	None	total = 7240.000000
[2012-07-10 16:23:21.184357]	benchmarks/nestedloop.lua, vm:luajit, suite:tilera, args:'14'	1	1	None	pass1	total = 3630.000000
[2012-07-10 16:23:21.184451]	benchmarks/nestedloop.lua, vm:luajit, suite:tilera, args:'14'	1	1	None	pass2	total = 3610.000000
[2012-07-10 16:23:28.884310]	benchmarks/nestedloop.lua, vm:luajit, suite:tilera, args:'14'	1	1	None	total = 7240.000000
[2012-07-10 16:23:28.884480]	benchmarks/nestedloop.lua, vm:luajit, suite:tilera, args:'14'	1	1	None	pass1	total = 3630.000000
[2012-07-10 16:23:28.884573]	benchmarks/nestedloop.lua, vm:luajit, suite:tilera, args:'14'	1	1	None	pass2	total = 3610.000000
[2012-07-10 16:23:38.694424]	benchmarks/nsieve.lua-3.lua, vm:luajit, suite:tilera, args:'6'	1	1	None	total = 7910.000000
[2012-07-10 16:23:38.694589]	benchmarks/nsieve.lua-3.lua, vm:luajit, suite:tilera, args:'6'	1	1	None	pass1	total = 3860.000000
[2012-07-10 16:23:38.694687]	benchmarks/nsieve.lua-3.lua, vm:luajit, suite:tilera, args:'6'	1	1	None	pass2	total = 3850.000000
[2012-07-10 16:23:47.054513]	benchmarks/nsieve.lua-3.lua, vm:luajit, suite:tilera, args:'6'	1	1	None	total = 7920.000000
[2012-07-10 16:23:47.054687]	benchmarks/nsieve.lua-3.lua, vm:luajit, suite:tilera, args:'6'	1	1	None	pass1	total = 3860.000000
[2012-07-10 16:23:47.054793]	benchmarks/nsieve.lua-3.lua, vm:luajit, suite:tilera, args:'6'	1	1	None	pass2	total = 3860.000000
[2012-07-10 16:23:55.454609]	benchmarks/nsieve.lua-3.lua, vm:luajit, suite:tilera, args:'6'	1	1	None	total = 7930.000000
[2012-07-10 16:23:55.454792]	benchmarks/nsieve.lua-3.lua, vm:luajit, suite:tilera, args:'6'	1	1	None	pass1	total = 3870.000000
[2012-07-10 16:23:55.454889]	benchmarks/nsieve.lua-3.lua, vm:luajit, suite:tilera, args:'6'	1	1	None	pass2	total = 3860.000000
[2012-07-10 16:29:29.907342]	benchmarks/process.lua, vm:luajit, suite:tilera, args:'100'	1	1	None	total = 30.000000
[2012-07-10 16:29:29.910009]	benchmarks/process.lua, vm:luajit, suite:tilera, args:'100'	1	1	None	pass1	total = 20.000000
[2012-07-10 16:29:29.910104]	benchmarks/process.lua, vm:luajit, suite:tilera, args:'100'	1	1	None	pass2	total = 10.000000
[2012-07-10 16:29:30.387359]	benchmarks/process.lua, vm:luajit, suite:tilera, args:'100'	1	1	None	total = 20.000000
[2012-07-10 16:29:30.387525]	benchmarks/process.lua, vm:luajit, suite:tilera, args:'100'	1	1	None	pass1	total = 20.000000
[2012-07-10 16:29:30.387620]	benchmarks/process.lua, vm:luajit, suite:tilera, args:'100'	1	1	None	pass2	total = 0.000000
[2012-07-10 16:29:30.877355]	benchmarks/process.lua, vm:luajit, suite:tilera, args:'100'	1	1	None	total = 40.000000
[2012-07-10 16:29:30.877517]	benchmarks/process.lua, vm:luajit, suite:tilera, args:'100'	1	1	None	pass1	total = 30.000000
[2012-07-10 16:29:30.877610]	benchmarks/process.lua, vm:luajit, suite:tilera, args:'100'	1	1	None	pass2	total = 10.000000
[2012-07-10 16:29:39.547683]	benchmarks/recursive.lua, vm:luajit, suite:tilera, args:'4'	1	1	None	total = 5260.000000
[2012-07-10 16:29:39.547844]	benchmarks/recursive.lua, vm:luajit, suite:tilera, args:'4'	1	1	None	pass1	total = 2640.000000
[2012-07-10 16:29:39.547945]	benchmarks/recursive.lua, vm:luajit, suite:tilera, args:'4'	1	1	None	pass2	total = 2620.000000
[2012-07-10 16:29:45.267592]	benchmarks/recursive.lua, vm:luajit, suite:tilera, args:'4'	1	1	None	total = 5260.000000
[2012-07-10 16:29:45.267757]	benchmarks/recursive.lua, vm:luajit, suite:tilera, args:'4'	1	1	None	pass1	total = 2640.000000
[2012-07-10 16:29:45.267848]	benchmarks/recursive.lua, vm:luajit, suite:tilera, args:'4'	1	1	None	pass2	total = 2620.000000
[2012-07-10 16:29:56.407678]	benchmarks/sieve.lua, vm:luajit, suite:tilera, args:'200'	1	1	None	total = 10640.000000
[2012-07-10 16:29:56.407846]	benchmarks/sieve.lua, vm:luajit, suite:tilera, args:'200'	1	1	None	pass1	total = 5330.000000
[2012-07-10 16:29:56.407943]	benchmarks/sieve.lua, vm:luajit, suite:tilera, args:'200'	1	1	None	pass2	total = 5310.000000
[2012-07-10 16:30:07.497747]	benchmarks/sieve.lua, vm:luajit, suite:tilera, args:'200'	1	1	None	total = 10600.000000
[2012-07-10 16:30:07.497917]	benchmarks/sieve.lua, vm:luajit, suite:tilera, args:'200'	1	1	None	pass1	total = 5310.000000
[2012-07-10 16:30:07.498008]	benchmarks/sieve.lua, vm:luajit, suite:tilera, args:'200'	1	1	None	pass2	total = 5290.000000
[2012-07-10 16:30:18.567887]	benchmarks/sieve.lua, vm:luajit, suite:tilera, args:'200'	1	1	None	total = 10630.000000
[2012-07-10 16:30:18.568046]	benchmarks/sieve.lua, vm:luajit, suite:tilera, args:'200'	1	1	None	pass1	total = 5330.000000
[2012-07-10 16:30:18.568140]	benchmarks/sieve.lua, vm:luajit, suite:tilera, args:'200'	1	1	None	pass2	total = 5300.000000
[2012-07-10 16:30:31.187918]	benchmarks/sieve.lua-2.lua, vm:luajit, suite:tilera, args:'200'	1	1	None	total = 12170.000000
[2012-07-10 16:30:31.188087]	benchmarks/sieve.lua-2.lua, vm:luajit, suite:tilera, args:'200'	1	1	None	pass1	total = 6100.000000
[2012-07-10 16:30:31.188178]	benchmarks/sieve.lua-2.lua, vm:luajit, suite:tilera, args:'200'	1	1	None	pass2	total = 6060.000000
[2012-07-10 16:30:43.818090]	benchmarks/sieve.lua-2.lua, vm:luajit, suite:tilera, args:'200'	1	1	None	total = 12170.000000
[2012-07-10 16:30:43.818254]	benchmarks/sieve.lua-2.lua, vm:luajit, suite:tilera, args:'200'	1	1	None	pass1	total = 6110.000000
